ChEMBL ID,Canonical_Smiles,MW,LogP,NumHDonors,NumHAcceptors,pKi
CHEMBL324392,CCCCCN1CC[C@@]2([C@@H](C1Cc1c2cc(cc1)O)C)C,287.447,4.1066,1,2,5.15
CHEMBL365410,CCCN(C1CCc2c(C1(C)C)cc(cc2)O)CCC,275.436,4.1066,1,2,5.57
CHEMBL571324,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)C)CC,381.52,4.1065,1,4,9.00
CHEMBL3698847,CC(=O)Nc1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,396.535,4.1047,1,5,4.42
CHEMBL4100943,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](O2)CN3Cc1ccccc1)CC1CC1,442.603,4.1024,1,4,9.30
CHEMBL170384,C[C@H]1C2Cc3c([C@@]1(C)CCN2CC1CC1)cc1c(c3)cc[nH]1,294.442,4.1021,1,1,6.60
CHEMBL4115091,CO[C@]12CC[C@]3(C[C@@H]1COc1ccc(cc1)n1ccnc1)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)C)ccc2O,499.611,4.1012,1,7,7.37
CHEMBL2112348,OCCN1C[C@H]2[C@@H](C1)C1(N(C2)c2ccccc2)CCN(CC1)[C@@H]1CC[C@@H](CC1)C(C)C,425.661,4.0963,1,4,6.03
CHEMBL551072,COc1ccc2c(c1)[C@@]13CCN(C[C@@]3(C2)Cc2c(C1)[nH]c1c2cccc1)C,358.485,4.0911,1,2,6.12
CHEMBL389072,COc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)[nH]c1c2cccc1)C,358.485,4.0895,1,2,7.46
CHEMBL3698820,CC(CC(N1[C@@H]2CCC[C@H]1C[C@H](C2)n1c2ccccc2nc(c1=O)C(=O)O)C)C,397.519,4.0873,1,5,6.18
CHEMBL3914215,COC(=O)CCC(=O)N(Cc1ccccc1)CCN1[C@@H]2CC[C@H]1C[C@H](C2)c1cccc(c1)O,450.579,4.0846,1,5,7.00
CHEMBL3695260,NC1CCN(CC1)c1nc2ccccc2n(c1=O)C1CCN(CC1)C1CCCCCCC1,437.632,4.0738,1,6,4.71
